SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
603;"73.11.10";2;Reklamebureauer;Branchen omfatter virksomheder der tilrettelægger reklamekampagner, herunder markedsføringsaktiviteter.;"- Reklamebureauer
- Direct mail reklamering
- Udformning af reklamer og tilrettelæggelse og gennemførelse af reklamekampagner under anvendelse af interne kræfter eller underleverandører. Herunder:
- Rådgivning
- Kreativ virksomhed
- Fremstilling af reklamemateriale
- Gennemførelse af markedsføringskampagner og anden reklamevirksomhed med henblik på at tiltrække og fastholde kunder:
- Markedsføring af varer
- Markedsføring på salgsstedet
- Adresserede reklameforsendelser
- Markedsføringsrådgivning";;"- Udgivelse af reklamemateriale, jf.<ref>58.19.00</ref>
- Produktion af reklameindslag til radio, tv og film, jf.<ref>59.11.20</ref>
- Markedsanalyse, jf.<ref>73.20.00</ref>
- Reklamefotografering, jf.<ref>74.20.00</ref>
- Organisering af kongresser, messer og udstillinger, jf.<ref>82.30.00</ref>
- Udsendelse af post mv. (adressering, forsortering mv.), jf.<ref>82.19.00</ref>
- Public relation-arbejde, jf.<ref>70.21.00</ref>
- Telemarketing, jf. <ref>82.20.00</ref>";;
604;"73.11.90";2;Anden reklamevirksomhed;Branchen omfatter virksomheder, som fremmer salg ved at synliggøre produkter, uanset om det er fysisk fremvisning eller ved opsætning af plakater.;"- Opsætning af udendørs reklamer, fx reklametavler, plakater
- Dekoratører
- Vinduesudstilling
- Indretning af udstillingslokaler
- Opsætning af reklamer på biler og busser mv.
- Luftreklamer
- Distribution eller levering af reklamemateriale eller vareprøver
- Frembringelse af stativer og andre opsætningsanordninger og -steder
- Annonceekspedition";;"- Udgivelse af reklamemateriale, jf.<ref>58.19.00</ref>
- Produktion af reklameindslag til radio, tv og film, jf.<ref>59.11.20</ref>
- Reklamefotografering, jf.<ref>74.20.00</ref>
- Organisering af kongresser, messer og udstillinger, jf.<ref>82.30.00</ref>
- Direct mail (adressering, forsortering mv.), jf.<ref>82.19.00</ref>";;
605;"73.12.00";2;Reklameplads i medier;Branchen omfatter udelukkende virksomheder, der sælger reklametid/-plads  på kontraktbasis for andre virksomheder.;- Medierepræsentation, dvs. salg af tid og plads til forskellige reklamemedier;;"- Public relation-arbejde, jf.<ref>70.21.00</ref>
- Salg af reklametid eller -plads direkte af ejerne af tiden eller plads (udgivere, radiovirksomheder m.fl.)";;
606;"73.20.00";2;Markedsanalyse og offentlig meningsmåling;Branchen omfatter virksomheder, der har speciale i markedsanalyse, samt institutter, der foretager eller fortolker offentlige meningsmålinger. Undersøgelser udført af fx hemmelige kunder er også omfattet.;"- Undersøgelse af markedet med henblik på afsætning, opmærksomhed, accept af og kendskab til varer og tjenesteydelser og forbrugernes indkøbsvaner med henblik på salgsfremme og udvikling af nye varer og tjenesteydelser, herunder statistiske analyser af resultaterne
- Offentlig meningsmåling om politiske, økonomiske og sociale spørgsmål samt statistisk analyse heraf";- under-cover research eller mystery shopper, dvs. forklædt som forbruger;"- Telemarketing, jf. <ref>82.20.00</ref>
";;
607;"74.10.10";2;Industriel design og produktdesign;Branchen omfatter design og rådgivning. Blandt andet indenfor industrielt design og varer til personligt eller husholdningsbrug.;"- Rådgivning af designere om specifikation og eventuelt formgivning af industrielt forarbejdede produkter
- Designervirksomhed indenfor tekstiler, beklædning, sko, smykker og guld- og sølvvarer, møbler og andre modevarer samt varer til personligt brug og husholdningsbrug";;"- Design og programmering af hjemmesider, jf.<ref>62.01.00</ref>
- Arkitektvirksomhed, jf.<ref>71.11.00</ref>
- Ingeniørvirksomhed og lignende teknisk rådgivning, jf.<ref>71.12</ref>";;
608;"74.10.20";2;Kommunikationsdesign og grafisk design;Branchen omfatter design og rådgivning vedrørende virksomheders identitet gennem design af kommunikationselementer herunder emballage, tryksager og skiltning.;- Rådgivning af designere om specifikation og eventuelt formgivning af grafiske designløsninger, herunder virksomhedsidentiteter og forbundne grafiske elementer, emballagedesign, inden- og udendørs skiltning samt fysiske og digitale publikationer og kommunikationselementer.;;"- Arkitekt- og ingeniørprojektering, jf.<ref>71.11.00</ref>,<ref>71.12</ref>
- Design og programmering af hjemmesider, jf.<ref>62.01.00</ref>
- Arkitektvirksomhed, jf.<ref>71.11.00</ref>
- Ingeniørvirksomhed og lignende teknisk rådgivning, jf.<ref>71.12</ref>";;
609;"74.10.30";2;Indretningsarkitekter og rumdesign;Branchen omfatter design og rådgivning vedrørende indretning af rum for private eller virksomheder.;- Rådgivning af indretningsarkitekter og rumdesignere om, og specifikation af, indretningsarbejder i private hjem, virksomheder og institutioner, samt i forbindelse med specifikke begivenheder og produktioner.;- Butiksindretning;"- Design og programmering af hjemmesider, jf.<ref>62.01.00</ref>
- Arkitektvirksomhed, jf.<ref>71.11.00</ref>
- Ingeniørvirksomhed og lignende teknisk rådgivning, jf.<ref>71.12</ref>";;
610;"74.20.00";2;Fotografisk virksomhed;Branchen omfatter alle former for fotografering samt fremkaldelse og bearbejdning af billeder.;"- Erhvervsmæssig fotografering og fotografering for private:
- Portrætfotografering, fx pasfotos, skolefotos, bryllupsfotos mv.
- Reklamefotografering, fotografering for forlag, modefotografering, fotografering af
fast ejendom eller fotografering til turistformål
- Luftfotografering
- Videooptagelse af begivenheder: bryllupper, møder mv.
- Filmfremkaldelse:
- Fremkaldelse, kopiering og forstørrelse på basis af kundeindleverede negativer og
film
- Filmfremkaldelses- og fotokopieringslaboratorier
- En-times-fotofremkaldelsesforretninger (ikke dele af kameraforretninger)
- Montering af diapositiver
- Kopiering eller retouchering af fotografier
- Fotojournalisters virksomhed
- Pressefotografer";- Mikrofotografering af dokumenter;"- Fremkaldelse af film til filmbranchen og tv, jf.<ref>59.12.00</ref>
- Aktiviteter vedrørende kartografiske og territoriale data, jf.<ref>71.12.40</ref>
- Drift af fotomaskiner med møntindkast (selvbetjening), jf.<ref>96.09.00</ref>";;
611;"74.30.00";2;Oversættelse og tolkning;Branchen omfatter både mundtlig og skriftlig oversættelse og tolkning.;;;;;
612;"74.90.10";2;Landbrugskonsulenter;Branchen omfatter rådgivning vedrørende den daglige landbrugsdrift.;- Rådgivning vedrørende den daglige drift som udøves af fx agronomer og landbrugsøkonomer;- Kontrol- og avlsforeninger og lokale landboforeningers konsulentvirksomhed;- Landboforeningernes landsorganisationer, jf.<ref>94.11.00</ref>;;
613;"74.90.90";2;Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n.;Branchen omfatter aktiviteter, som er nævnt under omfatter samt lignende aktiviteter.;"- Ejendomsmæglervirksomhed i forbindelse med erhvervsejendomme, dvs. mellemkomst ved køb og salg af små og mellemstore erhvervsvirksomheder, herunder også inden for de liberale erhverv, men ikke ejendomsmæglervirksomhed i forbindelse med private ejendomme
- Patentmæglervirksomhed (formidling af køb og salg af patenter)
- Vurderingsvirksomhed bortset fra vurdering inden for fast ejendom og forsikring (antikviteter, smykker mv.)
- Kontrol af transportdokumenter og vejledning om fragtsatser
- Meteorologiske målinger
- Sikkerhedsrådgivning
- Miljørådgivning - anden teknisk rådgivning
- Anden rådgivning end arkitektrådgivning, ingeniørrådgivning og virksomhedsrådgivning
- Mængde- og omkostningsberegninger ved byggeri
- Dressur af vagthunde";- Agenturers og manageres virksomhed almindeligvis på enkeltpersoners vegne som fx engagementer inden for film, teaterproduktion eller anden forlystelsesvirksomhed eller sportsarrangementer og afsætning af bøger, teaterstykker, kunstværker, fotografier mv. til forlag, producenter mv.;"- Engrossalg af brugte køretøjer på auktion, jf.<ref>45.1</ref>
- Onlineauktionsvirksomhed (detailsalg), jf.<ref>47.91</ref>
- Auktionssalg af huse (detailsalg), jf.<ref>47.99.00</ref>
- Ejendomsmæglervirksomhed, jf.<ref>68.31.10</ref>
- Bogføring, jf.<ref>69.20.00</ref>
- Virksomhedsrådgivning, jf.<ref>70.22.00</ref>
- Arkitekt- og ingeniørvirksomhed, jf.<ref>71.1</ref>
- Industriel formgivning og maskinkonstruktion, jf.<ref>71.1</ref>
- Dyrlægekontrol inden for fødevareproduktion, jf.<ref>71.20.10</ref>
- Udformning af annoncer og udarbejdelse af reklamer, jf.<ref>73.11.10</ref>
- Organisering af kongresser, messer og udstillinger, jf.<ref>82.30.00</ref>
- Uafhængige auktionsholderes virksomhed, jf.<ref>82.99.00</ref>
- Forvaltning af loyalitetsprogrammer, jf.<ref>82.99.00</ref>
- Arbejdsmiljørådgivning, jf <ref>71.12.90</ref>";;
614;"75.00.00";2;Dyrlæger;Branchen omfatter sundhedspleje, der udøves af dyrlæger og assisterende personale, for husdyr og kæledyr, samt ambulancetransport af dyr. Tandpleje er også omfattet.;"- Dyrlæger og dyrehospitaler
- Sundhedspleje for husdyr
- Sundhedspleje for kæledyr. Disse aktiviteter udøves af uddannede dyrlæger på dyrehospitaler eller i forbindelse med besøg på gårde, hundekenneler eller private hjem, i egne konsultationslokaler, operationsstuer eller andetsteds";"- Dyrlægeassistenters og andet assisterende personales virksomhed
- Klinisk-patologisk og anden diagnostisk virksomhed forbundet med dyr
- Ambulancetransport af dyr";"- Pensioner for husdyr uden dyrlægebehandling, jf. 01.62.00- Fåreklipning, jf.<ref>01.62.00</ref>
- Afkomstprøver, kvægdrivning, opfedning, kastrering af fjerkræ, jf.<ref>01.62.00</ref>
- Aktiviteter i forbindelse med inseminering, jf.<ref>01.62.00</ref>
- Pensioner for kæledyr uden dyrlægebehandling, jf.<ref>96.09.00</ref>";;
615;"77.11.00";2;Udlejning og leasing af biler og lette motorkøretøjer;Branchen omfatter udlejning og leasing af køretøjer under 35 ton uden fører.;"- Udlejning og operationel leasing af følgende køretøjer:
- Personvogne og andre lette motorkøretøjer uden fører (under 3,5 t)";;- Udlejning eller leasing af biler eller lette motorkøretøjer med fører, jf.<ref>49.32.00</ref>;;
616;"77.12.00";2;Udlejning og leasing af lastbiler;Branchen omfatter udlejning og leasing af køretøjer over 35 ton uden fører.;"- Udlejning og operationel leasing af følgende køretøjer:
- Lastbiler, anhængere og tunge motorkøretøjer uden fører (over 3,5 t)
- Fritidskøretøjer";;- Udlejning eller leasing af tunge lastvogne eller lastbiler med fører, jf.<ref>49.41.00</ref>;;
617;"77.21.00";2;Udlejning og leasing af varer til fritid og sport;Branchen omfatter primært udlejning varer i kortere tid til fritid og sport. Det kan være cykler, både, heste, strandstole osv.;"- Udlejning og leasing af varer til fritid og sport:
- Lystbåde, kanoer, sejlbåde
- Cykler
- Ski
- Andet sportsudstyr, fx strandstole og parasoller
- Heste";;"- Udlejning af lystbåde og sejlbåde med besætning, jf.<ref>50.10.00</ref>,<ref>50.30.00</ref>
- Udlejning af videobånd og dvd'er, jf.<ref>77.22.00</ref>
- Udlejning af andre varer til personlig brug og husholdningsbrug i.a.n., jf.<ref>77.29.00</ref>
- Udlejning af udstyr til fritid og rekreative formål, der indgår som en integreret del af rekreative faciliteter, jf.<ref>93.29.90</ref>
- Udlejning af væddeløbsheste mv. jf <ref>77.39.00</ref>";;
618;"77.22.00";2;Udlejning af videobånd og videodisks;Branchen omfatter udlejning af film, lyd eller tekst til brug på alle elektroniske medier.;- Udlejning af videobånd, grammofonplader, cd-plader, dvd-plader mv.;;;;
619;"77.29.00";2;Udlejning og leasing af andre varer til personlig brug og husholdningsbrug i.a.n.;Branchen omfatter udlejning og leasing af fx kostumer, fjernsyn, gulvslibere mv til privat brug.;"- Udlejning af alle former for varer til husholdningsbrug og personlig brug til husholdninger eller virksomheder (undtagen fritids- og sportsudstyr):
- Tekstiler, beklædningsartikler og fodtøj
- Møbler, lervarer og glas, køkkentøj og bordservice, elektriske apparater og
husholdningsartikler
- Radio- og tv-apparater
- Smykker, guld- og sølvvarer, musikinstrumenter, sceneudstyr og kostumer
- Bøger, tidsskrifter og ugeblade
- Maskineri og udstyr anvendt af amatører eller til hobbybrug, fx værktøj til
reparationer i hjemmet
- Blomster og planter
- Elektronisk udstyr til husholdningsbrug";;"- Udlejning af biler, lastbiler, anhængere og fritidskøretøjer uden fører, jf.<ref>77.1</ref>
- Udlejning af varer til fritid og sport, jf.<ref>77.21.00</ref>
- Udlejning af videobånd og dvd'er, jf.<ref>77.22.00</ref>
- Udlejning af motorcykler og campingvogne uden fører, jf.<ref>77.39.00</ref>
- Udlejning af kontormøbler, jf.<ref>77.33.00</ref>
- Vaskeriers udlejning af linned, arbejdsuniformer o.l., jf.<ref>96.01.10</ref>";;
620;"77.31.00";2;Udlejning og leasing af landbrugsmaskiner og -udstyr;Branchen omfatter udlejning og leasing (uden fører eller andet personale) af fx plæneklippere, traktorer, plove, mejetærskere mv til anvendelse i skov- og landbrug.;"- Udlejning og operationel leasing af landbrugs- og skovbrugsmaskiner samt -udstyr uden betjeningspersonale:
- Udlejning af produkter fremstillet af enheder i undergruppe 28.30.00 som fx
landbrugstraktorer mv.";;- Udlejning af landbrugs- og skovbrugsmaskiner eller -udstyr med betjeningspersonale, jf.<ref>01.61.00</ref>,<ref>02.40.00</ref>;;
621;"77.32.00";2;Udlejning og leasing af entreprenørmateriel;Branchen omfatter udlejning og leasing (uden fører eller andet personale) af fx stilladser, kranvogne, buldozere mv.;"- Udlejning og operationel leasing af entreprenørmateriel uden betjeningspersonale:
- Kranvogne
- Stilladser og arbejdsplatforme uden opstilling og demontering";;- Udlejning af entreprenørmateriel med betjeningspersonale, jf.<ref>43</ref>;;
622;"77.33.00";2;Udlejning af kontormaskiner og -udstyr, computere og it-udstyr;Branchen omfatter udlejning og leasing af kontorudstyr, fx computere, kopimaskiner, kasseapparater, kontormøbler mv.;"- Udlejning og operationel leasing af kontormaskiner og -udstyr uden betjeningspersonale:
- Computere og ydre enheder
- Duplikatorer, skrivemaskiner og tekstbehandlingsmaskiner
- Bogholderimaskiner og tilhørende udstyr: kasseapparater, elektroniske
regnemaskiner mv.
- Kontormøbler";;;;
623;"77.34.00";2;Udlejning og leasing af skibe og både;Branchen omfatter udlejning og leasing af skibe, handelsskibe og både uden fører. For udlejning af lystbåde se 77.21.00;"- Udlejning og operationel leasing af skibe og både uden fører:
- Handelsskibe";;"- Udlejning af skibe og både med fører, jf. hovedgruppe <ref>50</ref>
- Udlejning af lystbåde, jf.<ref>77.21.00</ref>";;
624;"77.35.00";2;Udlejning og leasing af luftfartøjer;Branchen omfatter udlejning og leasing af helikopter, flyvemaskiner, luftballoner mv uden fører.;"- Udlejning og operationel leasing af luftfartøjer uden fører:
- Flyvemaskiner
- Luftballoner";;- Udlejning af luftfartøjer med fører, jf. hovedgruppe <ref>51</ref>;;
625;"77.39.00";2;Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver i.a.n.;Branchen omfatter udlejning og leasing af materiel, der normalt betragtes som kapitalgoder af virksomheder. Endvidere omhandler branchen udlejning af containere, uanset formål, udlejning af dyr fx besætninger og væddeløbsheste.;"- Udlejning og operationel leasing, uden fører, af andet materiel og udstyr, som virksomheder normalt anvender som kapitalgoder:
- Motorer og turbiner
- Værktøjsmaskiner
- Udstyr til minedrift og oliefelter
- Radio-, tv- og kommunikationsudstyr
- Udstyr til filmproduktion
- Måle- og kontroludstyr
- Andet videnskabeligt udstyr samt udstyr til handel og industri
- Udlejning af lastbiler, anhængere og fritidskøretøjer uden fører (under 3,5 t), jf. 77.1
- Udlejning og operationel leasing af landtransportmateriel (bortset fra motorkøretøjer) uden fører:
- Motorcykler, campingvogne og campere mv.
- Jernbanemateriel";"- Udlejning af dyr (fx hjorde, væddeløbsheste)
- Udlejning af beboelses- eller kontorcontainere
- Udlejning af andre containere
- Udlejning af paller";"- Udlejning af cykler, jf.<ref>77.21.00</ref>
- Udlejning af landbrugs- og skovbrugsmaskiner samt -udstyr, jf.<ref>77.31.00</ref>
- Udlejning af entreprenørmateriel, jf.<ref>77.32.00</ref>
- Udlejning af kontormaskiner og -udstyr, herunder computere, jf.<ref>77.33.00</ref>";;
